"","PlayerName","pos","points","value"
"1","Adrian Peterson","rb",201.42,77.6298034776215
"2","Antonio Brown","wr",146.74,75.2666332104461
"3","Cam Newton","qb",330.632,74.699886030397
"4","Todd Gurley","rb",198.005,74.0979757041405
"5","Aaron Rodgers","qb",325.986,69.8949455221706
"6","Odell Beckham Jr.","wr",138.855,67.1118859208712
"7","Jamaal Charles","rb",190.29,66.1190441456028
"8","Russell Wilson","qb",317.156,60.762869610066
"9","Julio Jones","wr",132.535,60.5756775670206
"10","David Johnson","rb",183.78,59.3863358570635
"11","Lamar Miller","rb",181.915,57.4575338665681
"12","Rob Gronkowski","te",114.95,57.1627839645352
"13","DeAndre Hopkins","wr",128.56,56.4646920912996
"14","Ezekiel Elliott","rb",172.825,48.0565633069948
"15","Dez Bryant","wr",120.155,47.7721555067877
"16","Le'Veon Bell","rb",170.18,45.3210773740937
"17","Andrew Luck","qb",301.58,44.6540118063351
"18","A.J. Green","wr",116.775,44.2765250896966
"19","Jordy Nelson","wr",114.615,42.0426310953426
"20","Eddie Lacy","rb",164.77,39.7260002863829
"21","LeSean McCoy","rb",164.065,38.9968821076701
"22","Devonta Freeman","rb",162.295,37.1663300845189
"23","Doug Martin","rb",161.83,36.6854223496232
"24","Allen Robinson","wr",109.28,36.5251197713246
"25","Alshon Jeffery","wr",108.915,36.1476330546861
"26","Drew Brees","qb",293.022,35.8032410638898
"27","Mark Ingram","rb",160.26,35.0617123629862
"28","Thomas Rawls","rb",158.4,33.1380814234036
"29","Brandon Marshall","wr",105.195,32.3003711755208
"30","Sammy Watkins","wr",104.38,31.4574898767252
"31","Mike Evans","wr",103.93,30.9920952945681
"32","T.Y. Hilton","wr",103.875,30.9352137345267
"33","Brandin Cooks","wr",103.055,30.0871613848182
"34","Randall Cobb","wr",100.625,27.5740306411699
"35","Greg Olsen","te",86.065,27.2896228409628
"36","Jordan Reed","te",84.965,26.1519916401343
"37","Demaryius Thomas","wr",98.515,25.3918471559444
"38","Keenan Allen","wr",98.33,25.2005182721688
"39","C.J. Anderson","rb",150.68,25.153978813953
"40","Amari Cooper","wr",97.015,23.8405318820875
"41","Ben Roethlisberger","qb",281.088,23.4609767450838
"42","Doug Baldwin","wr",95.07,21.8289930769863
"43","Kelvin Benjamin","wr",94.98,21.7359141605548
"44","Eric Decker","wr",94.74,21.4877037167377
"45","Jeremy Maclin","wr",94.075,20.7999539453278
"46","Stephen Gostkowski","k",154,20.5465724505978
"47","Carlos Hyde","rb",145.47,19.7657437627565
"48","Jonathan Stewart","rb",144.01,18.2557968962024
"49","Latavius Murray","rb",143.575,17.8059154667838
"50","Michael Floyd","wr",90.74,17.3508629864525
"51","Julian Edelman","wr",89.285,15.8460871708112
"52","Carson Palmer","qb",273.608,15.7250845794504
"53","Jarvis Landry","wr",88.405,14.9359822101485
"54","Justin Tucker","k",148.3,14.6515744099414
"55","Larry Fitzgerald","wr",87.635,14.1396403695685
"56","Jeremy Hill","rb",139.83,13.9327983330543
"57","Mason Crosby","k",147.2,13.5139432091129
"58","Delanie Walker","te",72.665,13.4312063945072
"59","Golden Tate","wr",86.89,13.3691537835529
"60","Blake Bortles","qb",271.198,13.2326380394535
"61","Steven Hauschka","k",146.6,12.8934170995701
"62","Jordan Matthews","wr",86.43,12.8934170995701
"63","Matt Forte","rb",138.575,12.6348645539273
"64","Coby Fleener","te",71.69,12.4228514665002
"65","DeMarco Murray","rb",138.03,12.0712200044259
"66","Travis Kelce","te",71.16,11.8747200697374
"67","DeSean Jackson","wr",84.675,11.0783782291575
"68","Graham Gano","k",144.4,10.6181546979132
"69","Tyrod Taylor","qb",267.618,9.53016558584819
"70","Chris Boswell","k",143.3,9.48052349708479
"71","Donte Moncrief","wr",82.625,8.95824735488627
"72","Tyler Eifert","te",68.155,8.76691847111057
"73","Dan Bailey","k",142.5,8.65315535102773
"74","Antonio Gates","te",67.815,8.41528700903632
"75","John Brown","wr",81.965,8.27566863438919
"76","Josh Brown","k",141.9,8.03262924148495
"77","Emmanuel Sanders","wr",81.545,7.84130035770924
"78","Gary Barnidge","te",66.94,7.51035309928642
"79","Philip Rivers","qb",265.624,7.46795048180102
"80","Chandler Catanzaro","k",141.3,7.41210313194216
"81","Eli Manning","qb",265.39,7.22594529907929
"82","Matt Jones","rb",133.11,6.98290590617506
"83","Blair Walsh","k",140.8,6.89499804065651
"84","Allen Hurns","wr",80.5,6.76055071692221
"85","Ladarius Green","te",64.93,5.43159063231808
"86","Michael Crabtree","wr",78.87,5.07478811933098
"87","Devante Parker","wr",78.865,5.06961706841811
"88","Brandon McManus","k",138.3,4.30947258422822
"89","Jimmy Graham","te",63.495,3.94749902032824
"90","Ryan Mathews","rb",129.865,3.62689386373114
"91","Jeremy Langford","rb",128.92,2.64956524120126
"92","Andy Dalton","qb",259.37,1
"93","Adam Vinatieri","k",135.1,1
"94","Frank Gore","rb",127.325,1
"95","Stefon Diggs","wr",74.93,1
"96","Jason Witten","te",60.645,1
